feature,mean_abs_shap
Contract_Two year,0.6186543
tenure,0.5392175
InternetService_Fiber optic,0.32365265
MonthlyCharges,0.26968306
Contract_One year,0.2478051
TotalCharges,0.23605233
PaymentMethod_Electronic check,0.20428051
PaperlessBilling_Yes,0.14441589
OnlineSecurity_Yes,0.1347059
InternetService_No,0.12530877
TechSupport_Yes,0.118182376
MultipleLines_Yes,0.11649836
StreamingMovies_Yes,0.10721405
StreamingTV_Yes,0.09652996
Dependents_Yes,0.06099331
SeniorCitizen,0.059122436
OnlineBackup_Yes,0.053789016
PhoneService_Yes,0.051008742
PaymentMethod_Mailed check,0.033696663
gender_Male,0.031573232
PaymentMethod_Credit card (automatic),0.02177353
Partner_Yes,0.021042487
OnlineSecurity_No internet service,0.016207907
DeviceProtection_Yes,0.013498345
tenure_group_13-24 months,0.008594181
tenure_group_49-72 months,0.0085256
tenure_group_25-48 months,0.0081168115
MultipleLines_No phone service,0.0069807624
OnlineBackup_No internet service,0.0
DeviceProtection_No internet service,0.0
StreamingMovies_No internet service,0.0
TechSupport_No internet service,0.0
StreamingTV_No internet service,0.0
