Threshold,Precision,Recall,F1,Churn_Predictions
0.2,0.40941176470588236,0.93048128342246,0.5686274509803921,850
0.25,0.4291139240506329,0.9064171122994652,0.5824742268041238,790
0.3,0.44878706199460916,0.8903743315508021,0.5967741935483871,742
0.32,0.45643153526970953,0.8823529411764706,0.601640838650866,723
0.35,0.46656976744186046,0.8582887700534759,0.6045197740112994,688
0.4,0.48982785602503914,0.8368983957219251,0.6179664363277394,639
0.45,0.5058430717863105,0.8101604278074866,0.6228160328879754,599
0.5,0.5258467023172906,0.7887700534759359,0.6310160427807486,561
0.55,0.550098231827112,0.7486631016042781,0.6342015855039638,509
0.6,0.5584988962472406,0.6764705882352942,0.6118500604594922,453
