Threshold,Precision,Recall,F1,Churn_Predictions
0.2,0.4185185185185185,0.9064171122994652,0.5726351351351351,810
0.25,0.4486486486486487,0.8877005347593583,0.5960502692998204,740
0.3,0.47832585949177875,0.8556149732620321,0.613614573346117,669
0.32,0.4860248447204969,0.8368983957219251,0.6149312377210217,644
0.35,0.5016501650165016,0.8128342245989305,0.6204081632653061,606
0.4,0.5127272727272727,0.7540106951871658,0.6103896103896104,550
0.45,0.52,0.6951871657754011,0.5949656750572082,500
0.5,0.5469107551487414,0.6390374331550802,0.5893958076448829,437
0.55,0.5978835978835979,0.6042780748663101,0.601063829787234,378
0.6,0.6139817629179332,0.5401069518716578,0.5746799431009957,329
