Threshold,Precision,Recall,F1,Churn_Predictions
0.2,0.4646017699115044,0.8422459893048129,0.5988593155893536,678
0.25,0.4957983193277311,0.7887700534759359,0.608875128998968,595
0.3,0.5131578947368421,0.7299465240641712,0.6026490066225165,532
0.32,0.515748031496063,0.7005347593582888,0.5941043083900227,508
0.35,0.5364806866952789,0.6684491978609626,0.5952380952380952,466
0.4,0.5686746987951807,0.6310160427807486,0.5982256020278834,415
0.45,0.6051136363636364,0.56951871657754,0.5867768595041323,352
0.5,0.632996632996633,0.5026737967914439,0.5603576751117735,297
0.55,0.6573705179282868,0.4411764705882353,0.528,251
0.6,0.697560975609756,0.38235294117647056,0.4939550949913644,205
