Threshold,Precision,Recall,F1,Churn_Predictions
0.2,0.4847094801223242,0.8475935828877005,0.6167315175097277,654
0.25,0.511986301369863,0.7994652406417112,0.6242171189979123,584
0.3,0.5343228200371057,0.7700534759358288,0.6308871851040526,539
0.32,0.5415860735009671,0.7486631016042781,0.6285072951739619,517
0.35,0.5602536997885835,0.7085561497326203,0.6257378984651711,473
0.4,0.5793269230769231,0.6443850267379679,0.610126582278481,416
0.45,0.6267806267806267,0.5882352941176471,0.6068965517241379,351
0.5,0.6596491228070176,0.5026737967914439,0.5705614567526556,285
0.55,0.6979591836734694,0.4572192513368984,0.5525040387722132,245
0.6,0.7142857142857143,0.3877005347593583,0.5025996533795494,203
