Threshold,Precision,Recall,F1,Churn_Predictions
0.2,0.41058823529411764,0.9331550802139037,0.5702614379084967,850
0.25,0.43236409608091025,0.9144385026737968,0.5871244635193134,791
0.3,0.4506089309878214,0.8903743315508021,0.5983827493261455,739
0.32,0.4579310344827586,0.8877005347593583,0.6041856232939036,725
0.35,0.4660894660894661,0.8636363636363636,0.60543580131209,693
0.4,0.48829953198127923,0.8368983957219251,0.6167487684729064,641
0.45,0.5075885328836425,0.8048128342245989,0.6225439503619442,593
0.5,0.5234657039711191,0.7754010695187166,0.625,554
0.55,0.546875,0.7486631016042781,0.6320541760722348,512
0.6,0.5676855895196506,0.6951871657754011,0.625,458
